NodeID,Vendor,Location,IOSVersion,SystemUpTime,ResponseTime,PercentLoss,AvgResponseTime,MinResponseTime,MaxResponseTime,CPUCount,CPULoad,MemoryUsed,MemoryAvailable,PercentMemoryUsed,PercentMemoryAvailable,MachineType,IsServer,TotalMemory,SumTriggers
1810,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",964343,0,0,0,0,4,10,64,18206408704,3.267891E+09,84,16,"Windows 2016 Server",True,2.14743E+10,2966
1815,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",25484,0,0,0,0,1,4,0,2314579968,6.274884E+09,26,74,"Windows 2016 Server",True,8.589464E+09,1383
1820,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",24100,0,0,12,0,119,4,68,3598405632,4.991058E+09,41,59,"Windows 2016 Server",True,8.589464E+09,1114
1824,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",109,0,0,0,0,0,4,10,2211368960,6.378095E+09,25,75,"Windows 2016 Server",True,8.589464E+09,1024
1826,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",47672,0,0,0,0,1,4,52,3264430080,5.325034E+09,38,62,"Windows 2016 Server",True,8.589464E+09,1312
1827,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",51902,0,0,0,0,4,4,1,3076546560,5.512918E+09,35,65,"Windows 2016 Server",True,8.589464E+09,786
1829,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",17673,0,0,0,0,1,4,0,2827038720,5.762425E+09,32,68,"Windows 2016 Server",True,8.589464E+09,897
1831,Windows,AUS,,966631,0,0,0,0,0,24,0,106061332480,1.000308E+11,51,49,"Hyper-V Server",False,2.060921E+11,883
1835,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",317819,6,0,3,0,19,2,97,4950503424,3.638961E+09,57,43,"Windows 2016 Server",True,8.589464E+09,501
1844,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",973206,0,0,0,0,1,4,2,5694631936,2.894832E+09,66,34,"Windows 2016 Server",True,8.589464E+09,10766
1851,net-snmp,Unknown,,5209902.5,0,0,0,0,1,12,17,17163816960,5.039542E+10,25,75,"net-snmp - Linux",True,6.755924E+10,1931
1849,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",973372,0,0,0,0,5,4,2,7193817088,1.395647E+09,83,17,"Windows 2016 Server",True,8.589464E+09,1816
1852,net-snmp,Unknown,,40110308,0,0,0,0,0,4,1,1400479744,4.857479E+09,22,78,"net-snmp - Linux",True,6.257959E+09,377
1858,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",965371,0,0,0,0,2,8,4,5938200576,2.651197E+09,69,31,"Windows 2016 Server",True,8.589398E+09,7233
1859,net-snmp,Unknown,,22982706,0,0,0,0,6,4,1,2195542016,6.007525E+09,26,74,"net-snmp - Linux",True,8.203067E+09,792
1861,net-snmp,Unknown,,26630750,0,0,0,0,1,4,5,4370972672,3.832094E+09,53,47,"net-snmp - Linux",True,8.203067E+09,734
1850,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",952302,1,0,0,0,4,4,1,7855067136,2.881883E+09,73,27,"Windows 2016 Server",True,1.073695E+10,607
1864,Windows,Default-First-Site-Name,"10.0 (Build 14393 Multiprocessor Free)",7246121,1,0,1,1,1,2,0,2589696000,1.7048E+09,60,40,"Windows 2016 Server",True,4.294496E+09,257
1866,Windows,AUS,,707009,0,0,0,0,1,24,3,127716458496,1.471137E+11,46,54,"Hyper-V Server",False,2.748302E+11,1192
1766,Windows,AUS,,981210,0,0,0,0,0,24,0,106416340992,9.967576E+10,51,49,"Hyper-V Server",False,2.060921E+11,587
1888,net-snmp,Unknown,,29197570,0,0,0,0,0,4,9,4371841024,4.000047E+09,52,48,"net-snmp - Linux",True,8.371888E+09,15
1894,net-snmp,Unknown,,7716503,0,0,0,0,1,4,1,2443505664,1.5314E+09,61,39,"net-snmp - Linux",True,3.974906E+09,142
1896,Windows,Default-First-Site-Name,"6.3 (Build 9600 Multiprocessor Free)",1309355,198,0,191,160,235,2,2,1064284160,3.230212E+09,24,76,"Windows 2012 R2 Server",True,4.294496E+09,145
1895,Windows,Default-First-Site-Name,"6.3 (Build 9600 Multiprocessor Free)",752349,0,0,0,0,1,2,1,1154838528,3.139657E+09,26,74,"Windows 2012 R2 Server",True,4.294496E+09,9
1897,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",966865,0,0,0,0,1,4,3,2316251136,6.210779E+10,3,97,"Windows 2016 Server",True,6.442404E+10,13
1904,Windows,,,25339456,0,0,0,0,2,24,7,128623181824,7.746811E+10,62,38,"Hyper-V Server",False,2.060913E+11,1547
1903,Windows,,,25339464,0,0,0,0,2,24,0,92916006912,1.131753E+11,45,55,"Hyper-V Server",False,2.060913E+11,953
1906,Windows,,"10.0 (Build 14393 Multiprocessor Free)",614341.3125,109,0,113,90,151,6,49,8343797760,2.393082E+09,77,23,"Windows 2016 Server",True,1.073688E+10,3118
1905,Windows,,"10.0 (Build 14393 Multiprocessor Free)",206820.859375,4,0,9,3,50,6,97,10675535872,6.134413E+07,99,1,"Windows 2016 Server",True,1.073688E+10,4051
1907,Windows,MAN,"6.3 (Build 9600 Multiprocessor Free)",1839174,253,0,237,215,253,8,0,4504461312,4.085003E+09,52,48,"Windows 2012 R2 Server",True,8.589464E+09,37390
1882,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",1284701,210,0,204,159,246,2,3,1640841216,2.653655E+09,38,62,"Windows 2016 Server",True,4.294496E+09,107
1911,net-snmp,Unknown,,1798992.75,232,0,211,174,234,2,1,180785152,8.600328E+08,17,83,"net-snmp - Linux",True,1.040818E+09,437
1912,net-snmp,Unknown,,26014514,0,0,0,0,1,1,9,211271680,8.296813E+08,20,80,"net-snmp - Linux",True,1.040953E+09,31
1913,net-snmp,Unknown,,23704370,33,0,33,33,37,2,1,184315904,8.564491E+08,17,83,"net-snmp - Linux",True,1.040765E+09,114
1909,Windows,,,21164036,0,0,1,0,4,24,24,359689486336,5.256111E+10,87,13,"Hyper-V Server",False,4.122506E+11,1655
1922,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",1210058,0,0,0,0,4,4,26,12865703936,4.313696E+09,74,26,"Windows 2016 Server",True,1.71794E+10,643
1923,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",1182582,0,0,0,0,0,4,0,3805315072,6.931635E+09,35,65,"Windows 2016 Server",True,1.073695E+10,116
1881,Windows,COR,"10.0 (Build 14393 Multiprocessor Free)",1575625,197,0,191,160,232,2,0,1690824704,2.603671E+09,39,61,"Windows 2016 Server",True,4.294496E+09,241
1917,net-snmp,Unknown,,2835761.25,1,0,1,1,4,12,1,4234473472,2.939494E+10,12,88,"net-snmp - Linux",True,3.362941E+10,31
1918,net-snmp,Unknown,,2835775,1,0,1,1,3,12,1,4232007680,2.93974E+10,12,88,"net-snmp - Linux",True,3.362941E+10,31
1933,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",13237408,0,0,0,0,1,4,24,6076813312,2.512651E+09,70,30,"Windows 2016 Server",True,8.589464E+09,1496
1940,Windows,AUS,,702661,0,0,0,0,1,24,8,132625170432,1.421861E+11,48,52,"Hyper-V Server",False,2.748113E+11,283
1942,net-snmp,Unknown,,5205906.5,213,0,204,157,244,32,5,34186858496,3.280883E+10,51,49,"net-snmp - Linux",True,6.699569E+10,1392
1964,net-snmp,Unknown,,5972479,0,0,0,0,0,8,1,13330714624,3.496115E+09,79,21,"net-snmp - Linux",True,1.682683E+10,89
1959,net-snmp,Unknown,,5210352,0,0,0,0,1,2,1,816963584,1.280819E+09,38,62,"net-snmp - Linux",True,2.097783E+09,14
1966,net-snmp,Unknown,,5210990,0,0,0,0,0,32,4,31965630464,3.503006E+10,47,53,"net-snmp - Linux",True,6.699569E+10,769
1967,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",1602729,0,0,0,0,1,2,0,3052961792,1.241534E+09,71,29,"Windows 2016 Server",True,4.294496E+09,90
1969,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",966171,1,0,0,0,1,2,0,2863050752,5.726413E+09,33,67,"Windows 2016 Server",True,8.589464E+09,10234
1980,Windows,Default-First-Site-Name,,38477548,1,0,0,0,2,16,0,14836588544,1.912175E+11,7,93,"Hyper-V Server",False,2.060541E+11,88
1971,Windows,,,4696829,0,0,0,0,1,48,0,162464055296,4.359005E+10,78,22,"Hyper-V Server",False,2.060541E+11,52
1979,Windows,Default-First-Site-Name,,45269284,0,0,1,0,2,16,0,56102510592,1.499516E+11,27,73,"Hyper-V Server",False,2.060541E+11,432
1970,Windows,,"6.3 (Build 9600 Multiprocessor Free)",10304165,1,0,1,1,2,60,0,138146054144,4.115619E+11,25,75,"Windows 2012 R2 Server",True,5.497079E+11,10
1982,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",972420,6,0,1,0,6,8,0,6018740224,1.008685E+10,37,63,"Windows 2016 Server",True,1.610559E+10,24
1994,net-snmp,Unknown,,4246089,0,0,0,0,0,4,1,8502738944,8.155021E+09,51,49,"net-snmp - Linux",True,1.665776E+10,29
2029,"F5 Networks Inc.","Austin Lab","11.6.1 build 1.0.326",4157572.75,1,0,1,1,2,1,99,263582688,2.03909E+09,11,89,"BIG-IP Virtual Edition",False,2.302673E+09,19
2004,Cisco,Johannesburg,"12.1(13)EA1a RELEASE SOFTWARE (fc1)",8018662,1,0,828,1,1682,1,94,18541360,4.454852E+07,29,71,"Cisco Catalyst 355024",False,6.308988E+07,90
2035,HP,st-petes,,8408869,1,0,1,1,3,1,2,11037080,3.980294E+07,21,79,"ProCurve Switch 4204vl J8770A",False,5.084002E+07,6
2037,"Juniper Networks Inc.","St. Petersburg",,30427810,1,0,1,1,1,1,0,526133504,5.476085E+08,49,51,"Juniper J2320 Router",False,1.073742E+09,7
2026,Windows,lab,"6.1 (Build 7601 Multiprocessor Free)",2444915.75,4,0,3,1,12,2,1,3101818880,7.123761E+08,81,19,"Windows 2008 R2 Server",True,3.814195E+09,37
2021,Cisco,snmplocation,"7.0(3)N1(1) RELEASE SOFTWARE Copyright (c) 2002-2012 by Cisco Systems Inc. Device Manager Version 6.0(2)N1(1)  Compiled 7/20/2014 18:00:00",30325802,7,0,1,1,7,1,11,3027922944,5.423419E+09,35,65,"Cisco Nexus 5548",False,8.451342E+09,278
2036,Cisco,"St. Petersburg","15.1(3)T RELEASE SOFTWARE (fc1)",19437110,1,0,2,1,18,1,4,43581756,4.085644E+08,9,91,"Cisco 2821",False,4.521462E+08,6
2014,Cisco,,"15.1(3)T RELEASE SOFTWARE (fc1)",3033461,1,0,1,1,5,1,2,25904300,4.262132E+08,5,95,"Cisco 2821",False,4.521175E+08,7
2016,Cisco,bgp,"12.3(6c) RELEASE SOFTWARE (fc1)",9146472,1,0,8,1,71,1,7,26027340,1.897034E+08,12,88,"Cisco 3725",False,2.157307E+08,4
2022,Cisco,snmplocation,"6.0(2)U6(6) RELEASE SOFTWARE Copyright (c) 2002-2012 by Cisco Systems Inc.   Compiled 2/16/2016 1:00:00",42855512,1,0,1,1,2,1,7,2371248128,1.381958E+09,63,37,"Cisco Nexus 3048TP1GESys",False,3.753206E+09,4
2015,Cisco,Tokyo,"15.1(4)M9 RELEASE SOFTWARE (fc3)",9146912,1,0,1,1,2,1,6,66184928,3.248455E+08,16,84,"Cisco 2821",False,3.910304E+08,4
2028,Cisco,Bastogne,"12.4(17a) RELEASE SOFTWARE (fc2)",6806866.5,1,30,1,1,2,1,14,44925640,1.387175E+08,24,76,"Cisco 2811",False,1.836431E+08,152
1996,Cisco,,9.4(1)207,196953,-1,100,-1,-2,-2,3,25,697227840,1.450256E+09,32,68,"Cisco ASAv",False,2.147484E+09,81
2044,Cisco,,"8.2(1) RELEASE SOFTWARE Copyright (c) 2002-2017 by Cisco Systems Inc. Compiled 8/30/2017 23:00:00",2862792.5,5,0,1,1,5,2,8,9077235712,5.634764E+09,61,39,"Nexus 7004",False,1.4712E+10,12
2031,Cisco,Sydney,"5.0(1a) RELEASE SOFTWARE Copyright (c) 2002-2009 by Cisco Systems Inc. Compiled 2/2/2010 17:00:00",9146944,1,0,1,1,1,1,11,546213888,5.149651E+08,51,49,"Cisco MDS 9148 Multilayer Fabric Switch",False,1.061179E+09,19
2009,Cisco,"IPAM vlan 192","12.2(55)SE10 RELEASE SOFTWARE (fc2)",1806513.375,-1,100,-1,-2,-2,1,10,63496916,1.857994E+07,77,23,"Catalyst 37xx Stack",False,8.207686E+07,6
1999,Cisco,,"12.4(17a) RELEASE SOFTWARE (fc2)",9146823,5,0,3,1,14,1,2,10990880,2.05625E+07,34,66,"Cisco 2621 XM",False,3.155338E+07,2
2005,Cisco,Johannesburg,"12.4(25e) RELEASE SOFTWARE (fc2)",8018689.5,1,0,1,1,2,1,0,21678276,4.302994E+08,4,96,"Cisco 2811",False,4.519777E+08,2
2010,Cisco,Tokyo,"15.2(1)T RELEASE SOFTWARE (fc1)",9146913,1,0,1,1,1,1,1,66896184,3.321269E+08,16,84,"Cisco 1921/K9",False,3.990231E+08,2
2018,Cisco,bgp,"12.3(26) RELEASE SOFTWARE (fc2)",9146538,6,0,1,1,6,1,8,12815952,6.946054E+07,15,85,"Cisco 2651 XM",False,8.227649E+07,2
2020,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",8019993,1,0,1,1,3,1,8,10416392,1.01884E+07,50,50,"Cisco 2621 XM",False,2.060479E+07,2
2027,Cisco,,"12.4(15)T9 RELEASE SOFTWARE (fc5)",9146823,1,0,1,1,4,1,6,67120088,9.131471E+07,42,58,"Cisco 2821",False,1.584348E+08,2
2030,Cisco,,"12.4(18b) RELEASE SOFTWARE (fc2)",9146741,2,0,1,1,9,1,0,23131724,4.290652E+08,5,95,"Cisco 2851",False,4.521969E+08,2
2040,Cisco,,"12.4(4)T1 RELEASE SOFTWARE (fc4)",8986729,4,0,2,1,8,1,5,24189344,9.667115E+07,20,80,"Cisco 1841",False,1.208605E+08,2
2042,Cisco,"St. Petersburg","15.3(3)JAB RELEASE SOFTWARE (fc1)",38746376,1,0,1,1,6,1,0,73791328,2.608438E+07,73,27,"Cisco AIRAP3502",False,9.987571E+07,2
2001,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",9146704,1,0,1,1,7,1,1,7885920,3.349542E+07,19,81,"Cisco 2621 XM",False,4.138134E+07,2
2002,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",9146909,1,0,1,1,1,1,1,9829800,7.244665E+07,11,89,"Cisco 2651 XM",False,8.227645E+07,2
2003,Cisco,Bastogne,"15.4(3)M7 RELEASE SOFTWARE (fc1)",9146781,1,0,1,1,1,1,3,88600896,2.320459E+08,27,73,"Cisco 2911K9",False,3.206468E+08,2
2006,Cisco,"IPAM UDT","15.3(3)JAB RELEASE SOFTWARE (fc1)",21821108,-1,100,-1,-2,-2,1,100,75296456,2.490874E+07,75,25,"Cisco AIRAP1142",False,1.002052E+08,4
2008,Cisco,,"12.2(55)SE10 RELEASE SOFTWARE (fc2)",5073255.5,-1,100,-1,-2,-2,1,12,64605188,1.747167E+07,78,22,"Catalyst 37xx Stack",False,8.207686E+07,4
2013,Cisco,Tokyo,"15.1(4)M RELEASE SOFTWARE (fc1)",9147048,1,0,1,1,3,1,11,106358456,7.168584E+07,59,41,"Cisco 2811",False,1.780443E+08,2
2032,Cisco,,"8.1(1) RELEASE SOFTWARE Copyright (c) 2002-2017 by Cisco Systems Inc. Compiled 4/30/2017 23:00:00",14636588,1,0,1,1,6,2,7,7739830272,6.97226E+09,52,48,"Nexus 7004",False,1.471209E+10,4
2041,Cisco,"St. Petersburg","12.2(55)SE12 RELEASE SOFTWARE (fc2)",7792495,1,0,1,1,4,1,9,11761752,2.375195E+07,33,67,"Cisco Catalyst 2960-24TC-S",False,3.55137E+07,2
1998,Cisco,Texas,"15.3(3)M RELEASE SOFTWARE (fc2)",9146935,1,0,1,1,4,1,12,260331616,6.474388E+07,80,20,"Cisco 2901K9",False,3.250755E+08,2
2007,Cisco,"IPAM vlan 192","12.2(53)SE1 RELEASE SOFTWARE (fc2)",21820262,-1,100,-1,-2,-2,1,15,24060944,6.22152E+07,27,73,"Catalyst 356048 PS",False,8.627614E+07,4
2017,Cisco,bgp,"12.3(26) RELEASE SOFTWARE (fc2)",9146774,2,0,2,1,4,1,14,17511744,6.47647E+07,21,79,"Cisco 2651 XM",False,8.227645E+07,2
2045,net-snmp,Unknown,,715764.25,218,0,215,184,246,4,6,3304312832,5.066539E+09,39,61,"net-snmp - Linux",True,8.370852E+09,4
